tipnames	virus.subtype	collection.date	collection.datedecimal	collection.datemonth	collection.region.name	collection.country.name	collection.country.code	collection.country.lat	collection.country.long	collection.subdiv1.name	collection.subdiv1.code	collection.subdiv1.lat	collection.subdiv1.long	collection.original	collection.tipdate	cluster.number	host.order	tiplocation_lon	tiplocation_lat
H5N6.NA.EPI_ISL_833248.anseriformes.china.NA.2020-08-12	H5N6	2020-08-12	2020.61	2020-08-01	eastern asia	china	chn	36.6848135465548	103.513718494908	NA	NA	NA	NA	NA	2020-08-12	profileNA	anseriformes	103.513718494908	36.6848135465548
H5N6.2344b.EPI_ISL_6758007.anseriformes.china.61.2021-04	H5N6	NA	NA	2021-04-01	eastern asia	china	chn	36.6848135465548	103.513718494908	sichuan	cn.sc	30.6066264180489	102.711402322843	Asia / China / Sichuan Province / NA / NA	2021-04	profile012	anseriformes	102.711402322843	30.6066264180489
H5N6.NA.EPI_ISL_18058056.anseriformes.china.NA.2021-05-01	H5N6	2021-05-01	2021.33	2021-05-01	eastern asia	china	chn	36.6848135465548	103.513718494908	sichuan	cn.sc	30.6066264180489	102.711402322843	NA	2021-05-01	profileNA	anseriformes	102.711402322843	30.6066264180489
H5N6.2344b.EPI_ISL_3090099.na.china.61.2021-07-03	H5N6	2021-07-03	2021.5	2021-07-01	eastern asia	china	chn	36.6848135465548	103.513718494908	sichuan	cn.sc	30.6066264180489	102.711402322843	Asia / China / Sichuan Province / NA / NA	2021-07-03	profile012	na	102.711402322843	30.6066264180489
H5N6.2344b.EPI_ISL_6760682.galliformes.china.61.2021-07	H5N6	NA	NA	2021-07-01	eastern asia	china	chn	36.6848135465548	103.513718494908	sichuan	cn.sc	30.6066264180489	102.711402322843	Asia / China / Sichuan Province / NA / NA	2021-07	profile012	galliformes	102.711402322843	30.6066264180489
H5N6.NA.EPI_ISL_4568644.na.china.NA.2021-07-09	H5N6	2021-07-09	2021.52	2021-07-01	eastern asia	china	chn	36.6848135465548	103.513718494908	chongqing	cn.cq	30.0551333912638	107.864488420692	NA	2021-07-09	profileNA	na	107.864488420692	30.0551333912638
H5N6.NA.EPI_ISL_4558108.na.china.NA.2021-07-05	H5N6	2021-07-05	2021.51	2021-07-01	eastern asia	china	chn	36.6848135465548	103.513718494908	sichuan	cn.sc	30.6066264180489	102.711402322843	NA	2021-07-05	profileNA	na	102.711402322843	30.6066264180489
H5N6.2344b.EPI_ISL_11208199.anseriformes.china.73.2021-12-03	H5N6	2021-12-03	2021.92	2021-12-01	eastern asia	china	chn	36.6848135465548	103.513718494908	zhejiang	cn.zj	29.1745873279179	120.086382279697	Asia / China / Zhejiang / NA / NA	2021-12-03	profile024	anseriformes	120.086382279697	29.1745873279179
H5N6.2344b.EPI_ISL_7983813.na.china.73.2021-12-22	H5N6	2021-12-22	2021.97	2021-12-01	eastern asia	china	chn	36.6848135465548	103.513718494908	zhejiang	cn.zj	29.1745873279179	120.086382279697	Asia / China / Zhejiang Province / Hangzhou / NA	2021-12-22	profile024	na	120.086382279697	29.1745873279179
H5N6.2344b.EPI_ISL_8518268.galliformes.china.73.2021-12-23	H5N6	2021-12-23	2021.98	2021-12-01	eastern asia	china	chn	36.6848135465548	103.513718494908	zhejiang	cn.zj	29.1745873279179	120.086382279697	Asia / China / Zhejiang / NA / NA	2021-12-23	profile024	galliformes	120.086382279697	29.1745873279179
