tipnames	virus.subtype	collection.date	collection.datedecimal	collection.datemonth	collection.region.name	collection.country.name	collection.country.code	collection.country.lat	collection.country.long	collection.subdiv1.name	collection.subdiv1.code	collection.subdiv1.lat	collection.subdiv1.long	collection.original	collection.tipdate	cluster.number	host.order	tiplocation_lon	tiplocation_lat
H5N8.2344b.EPI_ISL_4061714.accipitriformes.japan.10.2021-02-03	H5N8	2021-02-03	2021.09	2021-02-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	hokkaido	jp.hk	43.3824165431654	142.542521870972	Asia / Japan / Hokkaido / NA / NA	2021-02-03	profile002	accipitriformes	142.542521870972	43.3824165431654
H5N8.2344b.EPI_ISL_1240997.accipitriformes.japan.10.2021-03-03	H5N8	2021-03-03	2021.17	2021-03-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	tochigi	jp.tc	36.6894768729176	139.818920628006	Asia / Japan / Tochigi / NA / NA	2021-03-03	profile002	accipitriformes	139.818920628006	36.6894768729176
H5N8.2344b.EPI_ISL_16718460.accipitriformes.japan.16.2021-02-01	H5N8	2021-02-01	2021.08	2021-02-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	kagoshima	jp.ks	30.9949222722596	130.419711465505	Asia / Japan / NA / NA / NA	2021-02-01	profile002	accipitriformes	130.419711465505	30.9949222722596
H5N8.2344b.EPI_ISL_1041173.accipitriformes.japan.16.2021-02-10	H5N8	2021-02-10	2021.11	2021-02-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	toyama	jp.ty	36.6374969915777	137.269020761504	Asia / Japan / Toyama / NA / NA	2021-02-10	profile002	accipitriformes	137.269020761504	36.6374969915777
H5N8.2344b.EPI_ISL_2815374.anseriformes.china.10.2020-10-15	H5N8	2020-10-15	2020.79	2020-10-01	eastern asia	china	chn	36.6848135465548	103.513718494908	ningxia hui	cn.nx	37.2602231520297	106.161545856493	Asia / China / Ningxia Hui Autonomous Region / NA / NA	2020-10-15	profile002	anseriformes	106.161545856493	37.2602231520297
H5N8.2344b.EPI_ISL_4061713.anseriformes.japan.10.2021-02-08	H5N8	2021-02-08	2021.1	2021-02-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	fukushima	jp.fs	37.3790195184946	140.222918340857	Asia / Japan / Fukushima / NA / NA	2021-02-08	profile002	anseriformes	140.222918340857	37.3790195184946
H5N8.2344b.EPI_ISL_697771.anseriformes.japan.10.2020-10-24	H5N8	2020-10-24	2020.81	2020-10-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	hokkaido	jp.hk	43.3824165431654	142.542521870972	Asia / Japan / Hokkaido / NA / NA	2020-10-24	profile002	anseriformes	142.542521870972	43.3824165431654
H5N8.2344b.EPI_ISL_16718466.anseriformes.japan.10.2020-12-18	H5N8	2020-12-18	2020.96	2020-12-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	kagoshima	jp.ks	30.9949222722596	130.419711465505	Asia / Japan / NA / NA / NA	2020-12-18	profile002	anseriformes	130.419711465505	30.9949222722596
H5N8.2344b.EPI_ISL_4061712.anseriformes.japan.10.2021-02-17	H5N8	2021-02-17	2021.13	2021-02-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	miyagi	jp.mg	38.446036231103	140.92583944453	Asia / Japan / Miyagi / NA / NA	2021-02-17	profile002	anseriformes	140.92583944453	38.446036231103
H5N8.2344b.EPI_ISL_985233.anseriformes.japan.10.2021-02-08	H5N8	2021-02-08	2021.1	2021-02-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	niigata	jp.ni	37.5201743528051	138.914818034069	Asia / Japan / Niigata / NA / NA	2021-02-08	profile002	anseriformes	138.914818034069	37.5201743528051
H5N8.2344b.EPI_ISL_985179.anseriformes.south_korea.10.2020-11-26	H5N8	2020-11-26	2020.9	2020-11-01	eastern asia	south korea	kor	36.341057964317	127.784630688405	jeollabuk-do	kr.cb	35.7159281817874	127.140659781938	Asia / Korea / JB / NA / NA	2020-11-26	profile002	anseriformes	127.140659781938	35.7159281817874
H5N8.2344b.EPI_ISL_1009702.anseriformes.south_korea.10.2020-12-01	H5N8	2020-12-01	2020.92	2020-12-01	eastern asia	south korea	kor	36.341057964317	127.784630688405	jeollanam-do	kr.cn	34.8733358026855	126.897223705092	Asia / Korea / JN / NA / NA	2020-12-01	profile002	anseriformes	126.897223705092	34.8733358026855
H5N8.2344b.EPI_ISL_631824.anseriformes.south_korea.10.2020-10-21	H5N8	2020-10-21	2020.8	2020-10-01	eastern asia	south korea	kor	36.341057964317	127.784630688405	chungcheongbuk-do	kr.gb	36.737850075983	127.830446360213	Asia / Korea / Chungcheongbuk-do / NA / NA	2020-10-21	profile002	anseriformes	127.830446360213	36.737850075983
H5N8.2344b.EPI_ISL_1009705.anseriformes.south_korea.10.2020-12-01	H5N8	2020-12-01	2020.92	2020-12-01	eastern asia	south korea	kor	36.341057964317	127.784630688405	chungcheongnam-do	kr.gn	36.5298116066164	126.847825775926	Asia / Korea / CN / NA / NA	2020-12-01	profile002	anseriformes	126.847825775926	36.5298116066164
H5N8.2344b.EPI_ISL_666687.anseriformes.south_korea.10.2020-10-24	H5N8	2020-10-24	2020.81	2020-10-01	eastern asia	south korea	kor	36.341057964317	127.784630688405	gyeonggi-do	kr.kg	37.5315346337798	127.181023197189	Asia / Korea / Gyeonggi-do / NA / NA	2020-10-24	profile002	anseriformes	127.181023197189	37.5315346337798
H5N8.2344b.EPI_ISL_14770166.anseriformes.china.16.2020-11-23	H5N8	2020-11-23	2020.89	2020-11-01	eastern asia	china	chn	36.6848135465548	103.513718494908	shandong	cn.sd	36.3536638777003	118.136153809721	Asia / China / NA / NA / NA	2020-11-23	profile002	anseriformes	118.136153809721	36.3536638777003
H5N8.2344b.EPI_ISL_1009699.anseriformes.south_korea.16.2020-11-25	H5N8	2020-11-25	2020.9	2020-11-01	eastern asia	south korea	kor	36.341057964317	127.784630688405	jeollabuk-do	kr.cb	35.7159281817874	127.140659781938	Asia / Korea / JB / NA / NA	2020-11-25	profile002	anseriformes	127.140659781938	35.7159281817874
H5N8.2344b.EPI_ISL_985203.anseriformes.south_korea.16.2020-12-23	H5N8	2020-12-23	2020.98	2020-12-01	eastern asia	south korea	kor	36.341057964317	127.784630688405	jeollanam-do	kr.cn	34.8733358026855	126.897223705092	Asia / Korea / JN / NA / NA	2020-12-23	profile002	anseriformes	126.897223705092	34.8733358026855
